Team Name,Seed,Region,Correct Team Name?,Post-Season Tournament,Post-Season Tournament Sorting Index
Purdue,1,Midwest,Purdue,March Madness,1
Montana State,16,Midwest,Montana State,March Madness,1
Grambling,16,Midwest,Grambling,March Madness,1
Utah State,8,Midwest,Utah State,March Madness,1
TCU,9,Midwest,TCU,March Madness,1
Gonzaga,5,Midwest,Gonzaga,March Madness,1
McNeese,12,Midwest,McNeese,March Madness,1
Kansas,4,Midwest,Kansas,March Madness,1
Samford,13,Midwest,Samford,March Madness,1
South Carolina,6,Midwest,South Carolina,March Madness,1
Oregon,11,Midwest,Oregon,March Madness,1
Creighton,3,Midwest,Creighton,March Madness,1
Akron,14,Midwest,Akron,March Madness,1
Texas,7,Midwest,Texas,March Madness,1
Virginia,10,Midwest,Virginia,March Madness,1
Colorado State,10,Midwest,Colorado State,March Madness,1
Tennessee,2,Midwest,Tennessee,March Madness,1
Saint Peters,15,Midwest,Saint Peters,March Madness,1
North Carolina,1,West,North Carolina,March Madness,1
Howard,16,West,Howard,March Madness,1
Wagner,16,West,Wagner,March Madness,1
Mississippi State,8,West,Mississippi State,March Madness,1
Michigan State,9,West,Michigan State,March Madness,1
Saint Marys,5,West,Saint Marys,March Madness,1
Grand Canyon,12,West,Grand Canyon,March Madness,1
Alabama,4,West,Alabama,March Madness,1
Charleston,13,West,Charleston,March Madness,1
Clemson,6,West,Clemson,March Madness,1
New Mexico,11,West,New Mexico,March Madness,1
Baylor,3,West,Baylor,March Madness,1
Colgate,14,West,Colgate,March Madness,1
Dayton,7,West,Dayton,March Madness,1
Nevada,10,West,Nevada,March Madness,1
Arizona,2,West,Arizona,March Madness,1
Long Beach State,15,West,Long Beach State,March Madness,1
UConn,1,East,UConn,March Madness,1
Stetson,16,East,Stetson,March Madness,1
Florida Atlantic,8,East,Florida Atlantic,March Madness,1
Northwestern,9,East,Northwestern,March Madness,1
San Diego State,5,East,San Diego State,March Madness,1
UAB,12,East,UAB,March Madness,1
Auburn,4,East,Auburn,March Madness,1
Yale,13,East,Yale,March Madness,1
BYU,6,East,BYU,March Madness,1
Duquesne,11,East,Duquesne,March Madness,1
Illinois,3,East,Illinois,March Madness,1
Morehead State,14,East,Morehead State,March Madness,1
Washington State,7,East,Washington State,March Madness,1
Drake,10,East,Drake,March Madness,1
Iowa State,2,East,Iowa State,March Madness,1
South Dakota State,15,East,South Dakota State,March Madness,1
Houston,1,South,Houston,March Madness,1
Longwood,16,South,Longwood,March Madness,1
Nebraska,8,South,Nebraska,March Madness,1
Texas A&M,9,South,Texas A&M,March Madness,1
Wisconsin,5,South,Wisconsin,March Madness,1
James Madison,12,South,James Madison,March Madness,1
Duke,4,South,Duke,March Madness,1
Vermont,13,South,Vermont,March Madness,1
Texas Tech,6,South,Texas Tech,March Madness,1
NC State,11,South,NC State,March Madness,1
Kentucky,3,South,Kentucky,March Madness,1
Oakland,14,South,Oakland,March Madness,1
Florida,7,South,Florida,March Madness,1
Boise State,10,South,Boise State,March Madness,1
Colorado,10,South,Colorado,March Madness,1
Marquette,2,South,Marquette,March Madness,1
Western Kentucky,15,South,Western Kentucky,March Madness,1
Seton Hall,1,NIT 1,Seton Hall,NIT,2
Saint Josephs,8,NIT 1,Saint Josephs,NIT,2
LSU,4,NIT 1,LSU,NIT,2
North Texas,5,NIT 1,North Texas,NIT,2
Providence,3,NIT 1,Providence,NIT,2
Boston College,6,NIT 1,Boston College,NIT,2
Princeton,2,NIT 1,Princeton,NIT,2
UNLV,7,NIT 1,UNLV,NIT,2
Wake Forest,1,NIT 2,Wake Forest,NIT,2
Appalachian State,8,NIT 2,Appalachian State,NIT,2
Georgia,4,NIT 2,Georgia,NIT,2
Xavier,5,NIT 2,Xavier,NIT,2
Virginia Tech,3,NIT 2,Virginia Tech,NIT,2
Richmond,6,NIT 2,Richmond,NIT,2
Ohio State,2,NIT 2,Ohio State,NIT,2
Cornell,7,NIT 2,Cornell,NIT,2
Indiana State,1,NIT 3,Indiana State,NIT,2
SMU,8,NIT 3,SMU,NIT,2
Butler,4,NIT 3,Butler,NIT,2
Minnesota,5,NIT 3,Minnesota,NIT,2
Bradley,3,NIT 3,Bradley,NIT,2
Loyola Chicago,6,NIT 3,Loyola Chicago,NIT,2
Cincinnati,2,NIT 3,Cincinnati,NIT,2
San Francisco,7,NIT 3,San Francisco,NIT,2
Villanova,1,NIT 4,Villanova,NIT,2
VCU,8,NIT 4,VCU,NIT,2
UCF,4,NIT 4,UCF,NIT,2
South Florida,5,NIT 4,South Florida,NIT,2
Iowa,3,NIT 4,Iowa,NIT,2
Kansas State,6,NIT 4,Kansas State,NIT,2
Utah,2,NIT 4,Utah,NIT,2
UC Irvine,7,NIT 4,UC Irvine,NIT,2
High Point,1,CBI,High Point,CBI,3
Northern Colorado,8,CBI,Northern Colorado,CBI,3
Cleveland State,9,CBI,Cleveland State,CBI,3
Arkansas State,4,CBI,Arkansas State,CBI,3
Bethune-Cookman,13,CBI,Bethune-Cookman,CBI,3
Montana,5,CBI,Montana,CBI,3
Presbyterian,12,CBI,Presbyterian,CBI,3
UC San Diego,2,CBI,UC San Diego,CBI,3
Chicago State,15,CBI,Chicago State,CBI,3
Fairfield,7,CBI,Fairfield,CBI,3
Little Rock,10,CBI,Little Rock,CBI,3
Seattle U,3,CBI,Seattle U,CBI,3
Delaware State,14,CBI,Delaware State,CBI,3
Quinnipiac,6,CBI,Quinnipiac,CBI,3
Evansville,11,CBI,Evansville,CBI,3
Texas A&M-Corpus Christi,1,Lou Henson Classic,Texas A&M-Corpus Christi,CIT,4
Abilene Christian,4,Lou Henson Classic,Abilene Christian,CIT,4
Tarleton State,2,Lou Henson Classic,Tarleton State,CIT,4
Texas Southern,3,Lou Henson Classic,Texas Southern,CIT,4
Purdue Fort Wayne,1,Jim Phelan Classic,Purdue Fort Wayne,CIT,4
Bowling Green,4,Jim Phelan Classic,Bowling Green,CIT,4
PENDING,2,Jim Phelan Classic,WRONG TEAM NAME SPELLING,CIT,4
PENDING,3,Jim Phelan Classic,WRONG TEAM NAME SPELLING,CIT,4
Austin Peay,1,High Durham Classic,Austin Peay,CIT,4
Alabama A&M,4,High Durham Classic,Alabama A&M,CIT,4
PENDING,2,High Durham Classic,WRONG TEAM NAME SPELLING,CIT,4
PENDING,3,High Durham Classic,WRONG TEAM NAME SPELLING,CIT,4
Norfolk State,1,John McLendon Classic,Norfolk State,CIT,4
PENDING,4,John McLendon Classic,WRONG TEAM NAME SPELLING,CIT,4
PENDING,2,John McLendon Classic,WRONG TEAM NAME SPELLING,CIT,4
PENDING,3,John McLendon Classic,WRONG TEAM NAME SPELLING,CIT,4
